transcript,s2.post,df.prior
ENST00000611116.2,1.2875693168508684,2.3546021408657114
ENST00000390289.2,2.2319215457807298,2.3546021408657114
ENST00000617347.1,3.3574154695852165,2.3546021408657114
ENST00000361390.2,1.1727103189007542,2.3546021408657114
ENST00000361453.3,0.7045581198377827,2.3546021408657114
ENST00000361624.2,0.20362285365899227,2.3546021408657114
ENST00000361739.1,0.4837639409815808,2.3546021408657114
ENST00000361851.1,0.6566279258898342,2.3546021408657114
ENST00000361899.2,0.21541716719268916,2.3546021408657114
ENST00000362079.2,0.2695307623608351,2.3546021408657114
ENST00000361227.2,0.2983539923529934,2.3546021408657114
ENST00000361335.1,0.3334270057821857,2.3546021408657114
ENST00000361381.2,0.2319970722941935,2.3546021408657114
ENST00000361567.2,0.1597721083588048,2.3546021408657114
ENST00000361681.2,0.22665354011657862,2.3546021408657114
ENST00000361789.2,0.3299071146998492,2.3546021408657114
ENST00000614336.4,2.294041417486468,2.3546021408657114
ENST00000612640.4,4.3802202533799655,2.3546021408657114
ENST00000618686.1,1.6399946117750657,2.3546021408657114
ENST00000612465.1,0.681313614530625,2.3546021408657114
ENST00000612919.1,1.5614212152664664,2.3546021408657114
ENST00000612848.1,1.1122698382000125,2.3546021408657114
ENST00000613230.1,5.899820585378242,2.3546021408657114
ENST00000400754.4,2.426241993567255,2.3546021408657114
ENST00000707298.1,2.102775003807624,2.3546021408657114
ENST00000707299.1,2.902765437272264,2.3546021408657114
ENST00000707301.1,9.708095807735923,2.3546021408657114
ENST00000672017.1,1.464089602338109,2.3546021408657114
ENST00000672339.1,11.233079708136623,2.3546021408657114
ENST00000672295.1,1.410882421350175,2.3546021408657114
ENST00000672064.1,1.8989535789411296,2.3546021408657114
ENST00000673550.1,2.000919582049937,2.3546021408657114
ENST00000672938.1,3.637086698567444,2.3546021408657114
ENST00000672225.1,1.6164671935279966,2.3546021408657114
ENST00000672190.1,16.861921862172633,2.3546021408657114
ENST00000673576.1,3.676150047322434,2.3546021408657114
ENST00000710476.1,3.0487373829787607,2.3546021408657114
ENST00000643872.4,1.1661825409977513,2.3546021408657114
ENST00000628983.2,5.23356102921464,2.3546021408657114
ENST00000673006.3,4.507196416468187,2.3546021408657114
ENST00000672883.3,9.01561792579666,2.3546021408657114
ENST00000711214.1,0.184440783353703,2.3546021408657114
ENST00000711204.1,1.2119237193560157,2.3546021408657114
ENST00000711203.1,1.9817968692540366,2.3546021408657114
ENST00000711201.1,1.3192722959610768,2.3546021408657114
ENST00000711197.1,0.966686741903424,2.3546021408657114
ENST00000711192.1,5.974040999806112,2.3546021408657114
ENST00000711184.1,18.91954897902555,2.3546021408657114
ENST00000711179.1,18.17367328807139,2.3546021408657114
ENST00000711173.1,11.025229840117525,2.3546021408657114
ENST00000711172.1,36.017959012974124,2.3546021408657114
ENST00000711171.1,23.528431963001406,2.3546021408657114
ENST00000711165.1,1.4947724768901085,2.3546021408657114
ENST00000711164.1,1.7301667168904042,2.3546021408657114
ENST00000711161.1,2.7761383009291607,2.3546021408657114
ENST00000711160.1,0.34619647868248005,2.3546021408657114
ENST00000711158.1,1.5843197504664037,2.3546021408657114
ENST00000711154.1,1.1950134994312394,2.3546021408657114
ENST00000711132.1,1.0179329590730373,2.3546021408657114
ENST00000711186.1,2.946112458512703,2.3546021408657114
ENST00000711185.1,1.8514316270196072,2.3546021408657114
ENST00000672066.1,0.42565702876325795,2.3546021408657114
ENST00000673544.1,5.435771191018827,2.3546021408657114
ENST00000672298.1,1.716795705308236,2.3546021408657114
ENST00000850822.1,2.991689419992527,2.3546021408657114
ENST00000711232.1,2.2982359657828417,2.3546021408657114
ENST00000711233.1,1.3124129508327966,2.3546021408657114
ENST00000711260.1,0.5525963769919386,2.3546021408657114
ENST00000711264.1,8.419335137053856,2.3546021408657114
ENST00000711271.1,2.7687353976806035,2.3546021408657114
ENST00000711273.1,1.7881290551270677,2.3546021408657114
ENST00000711277.1,5.104435592566955,2.3546021408657114
ENST00000711284.1,1.4943435209107765,2.3546021408657114
ENST00000710353.1,11.329848327511542,2.3546021408657114
ENST00000672201.1,0.5166159565223777,2.3546021408657114
ENST00000673369.1,1.444116564876948,2.3546021408657114
ENST00000672991.1,3.3874321163684535,2.3546021408657114
ENST00000672633.1,3.3203587133772277,2.3546021408657114
ENST00000673585.1,5.055300936770384,2.3546021408657114
ENST00000707384.1,1.7981335207892837,2.3546021408657114
ENST00000707385.1,1.8977123454089315,2.3546021408657114
ENST00000707390.1,1.6235828974416633,2.3546021408657114
ENST00000707355.1,1.2113025471329855,2.3546021408657114
ENST00000707357.1,2.3023643195194,2.3546021408657114
ENST00000707364.1,1.4677427654251358,2.3546021408657114
ENST00000707369.1,3.412628891103838,2.3546021408657114
ENST00000707372.1,0.42845153180689266,2.3546021408657114
ENST00000707376.1,4.642357013681848,2.3546021408657114
ENST00000707381.1,1.719857287383024,2.3546021408657114
ENST00000710277.1,14.996706664940032,2.3546021408657114
ENST00000713539.1,16.744378132897996,2.3546021408657114
ENST00000713541.1,15.895799002990445,2.3546021408657114
ENST00000710279.1,4.504039948091335,2.3546021408657114
ENST00000710278.1,1.6325891872815272,2.3546021408657114
ENST00000713540.1,40.64810749624386,2.3546021408657114
ENST00000713538.1,15.228246507216355,2.3546021408657114
ENST00000710275.1,22.05142939258985,2.3546021408657114
ENST00000628182.3,1.3258658748517929,2.3546021408657114
ENST00000625211.2,5.579774981501661,2.3546021408657114
ENST00000626698.1,5.490416218451624,2.3546021408657114
ENST00000629245.3,1.6146019483871032,2.3546021408657114
ENST00000626912.1,1.9508106907207987,2.3546021408657114
ENST00000627374.3,2.1545281246896635,2.3546021408657114
ENST00000626413.3,2.2873983006403296,2.3546021408657114
ENST00000628303.1,7.741715604317511,2.3546021408657114
ENST00000707468.1,0.3776069985672083,2.3546021408657114
ENST00000707471.1,2.2470329103088633,2.3546021408657114
ENST00000707473.1,3.010931577917822,2.3546021408657114
ENST00000707475.1,4.124145227136187,2.3546021408657114
ENST00000707476.1,1.8800412510292006,2.3546021408657114
ENST00000707480.1,2.475968415309556,2.3546021408657114
ENST00000707481.1,6.746530167804388,2.3546021408657114
ENST00000707482.1,3.4804648665142435,2.3546021408657114
ENST00000707483.1,2.693086459623615,2.3546021408657114
ENST00000707484.1,4.622902858044662,2.3546021408657114
ENST00000707485.1,7.186001175160426,2.3546021408657114
ENST00000707486.1,5.068788275332825,2.3546021408657114
ENST00000707487.1,2.1589464072315057,2.3546021408657114
ENST00000707488.1,3.4245073904694734,2.3546021408657114
ENST00000707489.1,4.70827064391957,2.3546021408657114
ENST00000707491.1,5.31893069742758,2.3546021408657114
ENST00000707492.1,28.81823382833899,2.3546021408657114
ENST00000672102.1,1.7543996686044603,2.3546021408657114
ENST00000673523.1,5.366173081566879,2.3546021408657114
ENST00000673377.1,6.410786431643795,2.3546021408657114
ENST00000673407.1,1.5526251606896195,2.3546021408657114
ENST00000672611.1,13.904567815258455,2.3546021408657114
ENST00000284878.12,2.153174527797541,2.3546021408657114
ENST00000382751.4,0.3614256024668975,2.3546021408657114
ENST00000673372.1,0.5205125082480977,2.3546021408657114
ENST00000671919.1,34.47753406205618,2.3546021408657114
ENST00000671801.1,3.8573196711261284,2.3546021408657114
ENST00000400532.5,2.839326338969874,2.3546021408657114
ENST00000480456.6,3.1719597952044363,2.3546021408657114
ENST00000460679.5,4.966531105086348,2.3546021408657114
ENST00000671752.1,1.4734567235024472,2.3546021408657114
ENST00000672447.1,1.8608659580959404,2.3546021408657114
ENST00000286835.12,5.835038106831819,2.3546021408657114
ENST00000399804.5,5.605448524927689,2.3546021408657114
ENST00000434667.3,30.371998932926797,2.3546021408657114
ENST00000672495.1,1.221998686679027,2.3546021408657114
ENST00000672180.1,2.9253542779307176,2.3546021408657114
ENST00000400546.6,2.3190193466863698,2.3546021408657114
ENST00000284894.8,3.0277872636198446,2.3546021408657114
ENST00000382172.4,0.6865197817251265,2.3546021408657114
ENST00000270112.7,1.5405858049518093,2.3546021408657114
ENST00000672242.1,2.184907639285991,2.3546021408657114
ENST00000382141.4,2.275818453733982,2.3546021408657114
ENST00000284881.9,0.998996915831424,2.3546021408657114
ENST00000400558.7,6.448455119875115,2.3546021408657114
ENST00000405964.2,8.165852173414196,2.3546021408657114
ENST00000261667.8,0.7794086591200305,2.3546021408657114
ENST00000400485.6,1.791447491191435,2.3546021408657114
ENST00000487909.5,24.43537572108989,2.3546021408657114
ENST00000298248.12,1.9968301364602141,2.3546021408657114
ENST00000331923.9,5.492558366453903,2.3546021408657114
ENST00000466846.5,1.5719281796201288,2.3546021408657114
ENST00000443785.5,10.82843874181708,2.3546021408657114
ENST00000497873.1,1.895608483548071,2.3546021408657114
ENST00000290178.4,5.490697381023835,2.3546021408657114
ENST00000464256.1,2.156510142342541,2.3546021408657114
ENST00000355854.8,5.2718800874991425,2.3546021408657114
ENST00000409308.6,1.077640075229833,2.3546021408657114
ENST00000409130.5,4.1869920644237775,2.3546021408657114
ENST00000474320.1,1.8930616538426877,2.3546021408657114
ENST00000379221.4,0.5260828004746325,2.3546021408657114
ENST00000400256.5,6.053663641616919,2.3546021408657114
ENST00000582147.1,5.997474092579088,2.3546021408657114
ENST00000671038.1,2.994691662912439,2.3546021408657114
ENST00000335327.6,6.553231439047924,2.3546021408657114
ENST00000361042.8,3.137517803010837,2.3546021408657114
ENST00000379749.8,10.615037100936854,2.3546021408657114
ENST00000379743.8,34.00675549461422,2.3546021408657114
ENST00000379742.4,1.4818006125314784,2.3546021408657114
ENST00000478947.1,3.5788379810805275,2.3546021408657114
ENST00000473823.5,7.491788046637734,2.3546021408657114
ENST00000474646.1,2.538531386446896,2.3546021408657114
ENST00000497145.1,1.8570773168697523,2.3546021408657114
ENST00000541179.5,1.1518361260360561,2.3546021408657114
ENST00000541481.5,8.680483875004242,2.3546021408657114
ENST00000578921.6,0.5252574040508703,2.3546021408657114
ENST00000578734.5,6.86021805548774,2.3546021408657114
ENST00000286800.8,4.106511261885233,2.3546021408657114
ENST00000399921.5,4.963326807770153,2.3546021408657114
ENST00000435072.1,3.2767911189088013,2.3546021408657114
ENST00000584307.5,12.545798696216615,2.3546021408657114
ENST00000314574.5,1.2029229134192216,2.3546021408657114
ENST00000577611.1,6.744990796855559,2.3546021408657114
ENST00000667466.1,19.542892809393845,2.3546021408657114
ENST00000360938.8,0.7985275535481964,2.3546021408657114
ENST00000432278.5,3.5732379738196665,2.3546021408657114
ENST00000653642.1,8.866286457457523,2.3546021408657114
ENST00000662305.1,0.7986912611366401,2.3546021408657114
ENST00000456966.1,5.354353023760668,2.3546021408657114
ENST00000318388.11,0.521122152436814,2.3546021408657114
ENST00000465096.5,2.179413654558448,2.3546021408657114
ENST00000328656.8,0.8533707257016843,2.3546021408657114
ENST00000398934.5,3.907933216256991,2.3546021408657114
ENST00000381554.8,3.020758268398739,2.3546021408657114
ENST00000381540.7,4.021874488251543,2.3546021408657114
ENST00000429827.5,6.009581802154498,2.3546021408657114
ENST00000492622.6,3.0145418823461827,2.3546021408657114
ENST00000484074.5,32.03614967263027,2.3546021408657114
ENST00000398316.7,2.4158091590261175,2.3546021408657114
ENST00000541916.5,1.8234380062067694,2.3546021408657114
ENST00000303775.10,20.499505654787676,2.3546021408657114
ENST00000351429.7,13.24830419118849,2.3546021408657114
ENST00000460212.1,4.283053599979129,2.3546021408657114
ENST00000379589.4,0.4688226376167202,2.3546021408657114
ENST00000025301.4,0.39367208387723224,2.3546021408657114
ENST00000284987.6,2.545729757017696,2.3546021408657114
ENST00000652031.1,3.091353113603615,2.3546021408657114
