,gene,logFC,SE,z,PValue,FDR
10287,XLOC_045480,1.473719346846856,0.1358267810315142,10.849990963894868,1.99445064537692e-27,2.0696414347076298e-23
3388,XLOC_011294,0.6796340675979979,0.07159882311352422,9.492251939957134,2.260961441516725e-21,1.1730998439309527e-17
9661,XLOC_043270,0.414579385223783,0.04556626959791052,9.098383275219746,9.168643139303896e-20,3.1714336618852175e-16
6193,XLOC_030052,0.7047440629007482,0.07979945782138592,8.831439237070603,1.0333732963413051e-18,2.680828674033431e-15
2368,XLOC_007747,1.6084029905211357,0.18335494200313807,8.772073296467832,1.7540615718564636e-18,3.640379386230905e-15
7697,XLOC_035885,0.4075644853439802,0.05072353164263128,8.035017912700644,9.356523320444807e-16,1.618210708270929e-12
3278,XLOC_010859,-0.4484994613672467,0.05633770892277799,-7.960910550729072,1.7077781648195826e-15,2.347707065421349e-12
112,XLOC_000300,0.3656248927688886,0.045969043258516355,7.953719869972536,1.809931244422356e-15,2.347707065421349e-12
8924,XLOC_040487,-0.3438869055383548,0.04458569482105804,-7.712942613511438,1.2294938167496433e-14,1.4176063707123388e-11
7410,XLOC_034593,0.2074425859478272,0.02798227110904363,7.4133577342399315,1.2314113008416712e-13,1.2778355068834023e-10
6489,XLOC_031118,0.33598326608247214,0.045674969940581914,7.3559603108562355,1.8955933679915169e-13,1.78823385269527e-10
10305,XLOC_045581,0.3265794139351703,0.04472108044787696,7.302583270898456,2.8229448676566503e-13,2.441141574306088e-10
8926,TRINITY_DN8304_c0_g1_i1.mrna1,-0.333396493373579,0.04589331558370831,-7.264598103954198,3.7414899939779157e-13,2.986572435962218e-10
10237,XLOC_045278,1.4264304100776337,0.2112705024196332,6.751678032385257,1.4614490946357188e-11,1.0832469467882039e-08
2611,TRINITY_DN5042_c0_g1_i2.mrna1,0.2732501123495016,0.040573482834277745,6.734696980922016,1.6427191866076082e-11,1.1364331332951434e-08
2104,XLOC_006862,0.3234070902621439,0.048227147442822915,6.70591373138062,2.0014994739130343e-11,1.2980975025497223e-08
5773,TRINITY_DN66803_c0_g1_i1.mrna1,0.340465326227879,0.05103910174175995,6.6706762973712745,2.546272911937624e-11,1.5146440229269647e-08
507,XLOC_001549,0.9548782620285521,0.14333698371191064,6.661771702603549,2.7054606708982806e-11,1.5146440229269647e-08
9802,XLOC_043777,0.43964820151013917,0.06603175082427215,6.65813333770535,2.7732713149862515e-11,1.5146440229269647e-08
8324,XLOC_038107,0.19560298044174182,0.029603350201332496,6.6074609499075345,3.9096726465395894e-11,1.9525266983287246e-08
7026,XLOC_033271,0.30482213127319124,0.04614398572961525,6.60589081011171,3.9513405285634786e-11,1.9525266983287246e-08
2035,XLOC_006659,0.369618768838627,0.05641755935953445,6.551484556131586,5.6967880412452735e-11,2.687071341091009e-08
9693,XLOC_043363,0.7779499118949191,0.11926795152265558,6.522707080679116,6.904963195872183e-11,3.115339264502854e-08
