theoretical,observed
-3.897404923769811,-7.960910550729072
-3.622573162606949,-7.712942613511438
-3.488276605847897,-7.264598103954198
-3.3972760067303627,-6.330611493092705
-3.327891064054642,-5.414421561967421
-3.27157062528207,-5.3896968866981485
-3.2240356424182783,-5.359159589077275
-3.1828295124970434,-5.314378627715318
-3.1464079944287553,-5.212761375704756
-3.1137354452291324,-5.008496725044042
-3.084082675634456,-4.908665132731729
-3.0569163937550448,-4.877933923269523
-3.0318344998849773,-4.865154717991185
-3.0085261248802087,-4.786584321294409
-2.9867458459741933,-4.597268098191166
-2.966296434204352,-4.588336909506431
-2.9470169504507804,-4.532947463749252
-2.9287743130599124,-4.5247851876448735
-2.9114571869838075,-4.482438844940007
-2.894971466141746,-4.464014824158589
-2.879236874349622,-4.41859339355159
-2.864184367542031,-4.315862145574751
-2.8497541203974075,-4.226116210411203
-2.8358939460989414,-4.209751446699927
-2.8225580418139824,-4.2047723556983705
-2.809705982361216,-4.090709239527083
-2.797301905272419,-4.086783479412405
-2.785313845081102,-4.0742553507159895
-2.773713185139923,-4.021591061725497
-2.762474202866372,-4.01070411617672
-2.751573689899441,-3.973705641132291
-2.7409906328008846,-3.96395915285228
-2.7307059430540708,-3.950406507194807
-2.7207022274811985,-3.9158696108500486
-2.710963592013846,-3.906883688043678
-2.7014754731538715,-3.9055775585498322
-2.6922244925542684,-3.874937135031972
-2.683198331007371,-3.8538713997630105
-2.6743856188062805,-3.8217593997105554
-2.6657758399855713,-3.8092855023663166
-2.6573592483802098,-3.808270615337851
-2.649126793790637,-3.8054031056765494
-2.6410700568249363,-3.778665381397256
-2.6331811912197134,-3.764408712325661
-2.625452872630347,-3.7608661856450674
-2.6178782530369693,-3.7594876113050564
-2.6104509200413166,-3.7588885314619587
-2.603164860436623,-3.7562576993272594
-2.5960144275220483,-3.7411341743567426
-2.5889943117079923,-3.7383940805533533
-2.582099514021581,-3.7139295427266252
-2.5753253221747796,-3.6599567764799095
-2.5686672889026276,-3.623301233877501
-2.5621212123173667,-3.6211625970043984
-2.555683118056912,-3.6025742585857157
-2.5493492430340403,-3.601143413249933
-2.543116020616678,-3.5962687527763384
-2.5369800670902873,-3.5948866631315433
-2.530938169271194,-3.5926023211076044
-2.5249872731551,-3.59123298047586
-2.5191244734984135,-3.5791409942544776
-2.5133470042416675,-3.5717564635421493
-2.507652229694444,-3.5646743144534976
-2.502037636410099,-3.5581946922791006
-2.4965008256863395,-3.5576637685796832
-2.491039506634542,-3.5493099554574634
-2.4856514897666875,-3.549145730247837
-2.480334681054097,-3.539427835614983
-2.4750870764168007,-3.5375199335625904
-2.469906756606531,-3.534009226425999
-2.464791882449983,-3.533113863973243
-2.4597406904222514,-3.5176386767039305
-2.454751488523248,-3.5169968286132782
-2.44982265243247,-3.4972779684781563
-2.444952621919839,-3.488965511475114
-2.4401398974923403,-3.4874531438944
-2.435383037258069,-3.481123552390987
-2.4306806539909522,-3.4148671252893883
-2.4260314123808766,-3.414029351106492
-2.4214340264553105,-3.4039216095309754
-2.416887257159712,-3.403577117802711
-2.412389910085105,-3.3887191288997576
-2.4079408333321624,-3.3860381504095436
-2.4035389155020734,-3.3783264848906374
-2.399183083805223,-3.3559258505800305
-2.3948723022794813,-3.3548054979498616
-2.3906055701105355,-3.352410493497565
-2.386381920047324,-3.349957206490774
-2.382200416906156,-3.3428496304854707
-2.37806015615761,-3.3401212983686124
-2.373960262590769,-3.328948533250342
-2.369899889049742,-3.3200179721533325
-2.3658782152378226,-3.3191199154792845
-2.361894446584972,-3.309961308256343
-2.357947813174633,-3.303071570354676
-2.3540375687261696,-3.284334501316143
-2.350162989629512,-3.275380666917269
-2.3463233740287928,-3.268083892189207
-2.3425180409520365,-3.2666490365394663
-2.3387463294841337,-3.252757270756195
-2.335007597980528,-3.250773612257502
-2.3313012233192456,-3.2481854972699837
-2.3276266001890216,-3.2472887391557506
-2.3239831404114515,-3.2162240962552766
-2.320370272295242,-3.200996884780652
-2.3167874400207262,-3.1931170779995077
-2.3132341030529706,-3.187243797251012
-2.3097097355818867,-3.1857053961311155
-2.30621382598785,-3.165716333619042
-2.302745876331471,-3.154818764770777
-2.2993054018661834,-3.1473033532868566
-2.2958919305724534,-3.145525214621922
-2.2925050027124585,-3.141469708841243
-2.289144170404169,-3.138792231496262
-2.285808997213809,-3.1259425884104126
-2.282499057765767,-3.123196479425441
-2.2792139373690565,-3.120441370936989
-2.27595323165949,-3.117728198014103
-2.2727165462567744,-3.097649927282465
-2.2695034964357905,-3.0917883902162373
-2.2663137068113546,-3.0898669836350425
-2.263146811035799,-3.085142694234967
-2.260002451508751,-3.083378211218991
-2.2568802790985267,-3.0786387460570728
-2.2537799528745777,-3.076526262634506
-2.250701139850471,-3.069456691987901
-2.247643514736909,-3.0675194295850474
-2.2446067597043156,-3.064873068579993
-2.2415905641545506,-3.0640121411377526
-2.2385946245013284,-3.0604697698376215
-2.2356186439589565,-3.053391452021944
-2.2326623323389962,-3.051477052355725
-2.229725405854511,-3.0474640354326357
-2.226807586931556,-3.0435105504655047
-2.2239086040275824,-3.040714687991538
-2.221028191456469,-3.0354656592134166
-2.2181660892198747,-3.0338918712185987
-2.2153220428446527,-3.024760690813338
-2.2124958032260573,-3.013732606468956
-2.2096871264765037,-3.0109081435674123
-2.2068957737796353,-3.0101477643394836
-2.2041215112494923,-3.0024418626080718
-2.201364109794548,-2.9997637937469612
-2.198623344986431,-2.99962753955888
-2.195898996933127,-2.9964807481672673
-2.1931908501564843,-2.9963977201219323
-2.1904986934738426,-2.9958457703805466
-2.187822319883629,-2.9879468608519244
-2.18516152645475,-2.9869562812586556
-2.1825161142196348,-2.9843416277111547
-2.1798858880707925,-2.984063068917052
-2.177270656660732,-2.9789295903443205
-2.17467023230512,-2.9756431315575327
-2.1720844308890563,-2.9743048152685296
-2.1695130717763402,-2.973415994806414
-2.166955977721616,-2.9677109688742216
-2.1644129747852845,-2.962348992439299
-2.161883892251087,-2.9592224299508834
-2.1593685625462484,-2.958573540495199
-2.156866821164095,-2.958224073387182
-2.154378506589042,-2.955272250870876
-2.1519034602238865,-2.9513606287549172
-2.149441526319291,-2.942562476418762
-2.1469925519054094,-2.9410890843603186
-2.14455638672555,-2.9370667161678043
-2.142132883171825,-2.9310941615389385
-2.139721896222702,-2.9274214634975926
-2.1373232833823943,-2.9257690837494414
-2.1349369046220246,-2.920510388689021
-2.132562622322504,-2.9204247000753845
-2.1302003012190585,-2.916656099111801
-2.1278498083473516,-2.9145085982988057
-2.1255110129911507,-2.901743276783995
-2.1231837866314747,-2.8959146919824232
-2.1208680028971862,-2.895693948667891
-2.1185635375169616,-2.8956206260265756
-2.116270268272614,-2.8950482450140322
-2.113988074953701,-2.8928157453111902
-2.1117168393134,-2.887153064905506
-2.10945644502558,-2.8794608225231473
-2.1072067776430585,-2.8746317723849946
-2.1049677245569858,-2.8736792826745674
-2.102739174957325,-2.871243884173575
-2.1005210197944018,-2.867671192735923
-2.0983131517414693,-2.867407206180743
-2.09611546515828,-2.8664985797832148
-2.0939278560556116,-2.8497768571898936
-2.0917502220607265,-2.8316928067350835
-2.0895824623837425,-2.8299380839648123
-2.087424477784865,-2.82583214625796
-2.0852761705424774,-2.8256427224959895
-2.0831374444220487,-2.8235143735297394
-2.0810082046458382,-2.8213990439007977
-2.0788883578633652,-2.812891830348253
-2.076777812122642,-2.803869169771953
-2.074676476842115,-2.795584992822732
-2.0725842627833186,-2.778729133874214
-2.070501082024213,-2.775988044353396
-2.0684268479331753,-2.7735630849614963
-2.066361475143642,-2.7705683307233033
-2.064304879529368,-2.770282484317167
-2.062256978180297,-2.765401547939535
-2.0602176893790096,-2.7616605021882012
-2.0581869325777524,-2.7608971784339857
-2.056164628376013,-2.7607442968678213
-2.054150698498632,-2.752968583007822
-2.0521450657744476,-2.7507294946375955
-2.05014765411543,-2.7470016538132787
-2.0481583884963257,-2.746312978232104
-2.046177194934769,-2.7424597600064984
-2.044204000471863,-2.7412324250949767
-2.0422387331532175,-2.7333306376446878
-2.040281322010411,-2.725284528572911
-2.0383316970429046,-2.7217913322639933
-2.0363897892003457,-2.7199973584726345
-2.034455530365295,-2.7175590517510053
-2.032528853336336,-2.7138477497124143
-2.030609691811573,-2.70669726996679
-2.0286979803724945,-2.705572187174254
-2.026793654468208,-2.6992054641578753
-2.0248966504000148,-2.6928341076164455
-2.0230069053063398,-2.6926408584154182
-2.021124357147987,-2.6885678649075055
-2.0192489446937207,-2.68724180742527
-2.017380607506169,-2.6839333547016015
-2.015519285928024,-2.676007186564214
-2.0136649210685555,-2.6747037937639413
-2.0118174547904046,-2.6746409037475574
-2.009976829696669,-2.673206806962188
-2.0081429891182614,-2.6700245788564265
-2.006315877101543,-2.662590893849128
-2.0044954383962126,-2.6623958497033664
-2.0026816184434617,-2.661801136296053
-2.000874363364367,-2.6598274844864878
-1.9990736199485395,-2.654323160826018
-1.9972793356430025,-2.6486894906415785
-1.995491458541302,-2.6458143082656966
-1.9937099373728466,-2.6451639922511663
-1.9919347214924659,-2.644707810681741
-1.9901657608701782,-2.643044014080169
-1.9884030060811775,-2.6385895233878007
-1.9866464082960154,-2.634794186311843
-1.9848959192709883,-2.634341947018676
-1.983151491338715,-2.6308723155988427
-1.9814130773989076,-2.6294308037492105
-1.9796806309093233,-2.6284957088119802
-1.9779541058769012,-2.6252392467962316
-1.9762334568490725,-2.6228651516859656
-1.974518638905242,-2.6203354068923828
-1.9728096076484418,-2.6162879840201505
-1.971106319197145,-2.615841218769188
-1.9694087301772396,-2.614901497621276
-1.9677167977141625,-2.613950903908349
-1.966030479425183,-2.6091364161040684
-1.9643497334118356,-2.60808048512324
-1.9626745182525,-2.6033013902886073
-1.9610047929951233,-2.6002285804876997
-1.9593405171500784,-2.59748858923889
-1.9576816506831634,-2.596661858286131
-1.9560281540087296,-2.5964710377281097
-1.954379987982941,-2.5963186261671787
-1.9527371138971605,-2.5958344230862953
-1.9510994934714596,-2.5866391310723427
-1.9494670888482486,-2.5744611746859896
-1.947839862586028,-2.574327607375191
-1.9462177776532543,-2.571348991751114
-1.944600797422316,-2.569298769404241
-1.9429888856636262,-2.5602164894783423
-1.9413820065398186,-2.5594235380848196
-1.9397801246000501,-2.5589145925287315
-1.9381832047744116,-2.557083287610501
-1.9365912123684328,-2.556657337868686
-1.9350041130576925,-2.5565665413680567
-1.9334218728825228,-2.552712337907372
-1.9318444582428078,-2.552428944527533
-1.930271835892877,-2.5467819780332106
-1.9287039729364885,-2.54422317172288
-1.9271408368219005,-2.5441269026137476
-1.925582395337032,-2.5427539994332253
-1.924028616604707,-2.541826448805166
-1.922479469077981,-2.5415405646203415
-1.9209349215355511,-2.5404428749510326
-1.9193949430772472,-2.536729530167225
-1.9178595031195986,-2.531539809228564
-1.9163285713914753,-2.530695754821303
-1.914802117929813,-2.5274495243943957
-1.9132801130754031,-2.52546469697706
-1.9117625274687549,-2.517994968020518
-1.9102493320460359,-2.5149234658953157
-1.9087404980350733,-2.5097078792009846
-1.9072359969514248,-2.507661227987085
-1.9057358005945213,-2.5071763377180116
-1.904239881043866,-2.504038674843122
-1.9027482106553015,-2.5010432816228225
-1.9012607620573414,-2.493288385344075
-1.899777508147559,-2.492256375053397
-1.898298422089037,-2.4918850973843507
-1.8968234773068775,-2.489449952522797
-1.8953526474847662,-2.4885019087888876
-1.8938859065615987,-2.4882288488307496
-1.8924232287281546,-2.4868612673804384
-1.8909645884238315,-2.485215443679253
-1.88950996033343,-2.4834568020196985
-1.8880593193839919,-2.4833938848076116
-1.8866126407416859,-2.4831601316506307
-1.8851698998087496,-2.4789252771832246
-1.883731072220473,-2.4690241236080217
-1.8822961338422397,-2.466492305857948
-1.8808650607666042,-2.4612111617669448
-1.8794378293104241,-2.4607945961951794
-1.8780144160120353,-2.459691948734139
-1.8765947976284703,-2.4591814242998256
-1.8751789511327197,-2.4575441286522746
-1.8737668537110437,-2.456423245697085
-1.8723584827603128,-2.4557291087993876
-1.8709538158854047,-2.4552933190419095
-1.869552830896626,-2.4504223292167153
-1.868155505807192,-2.448267488850031
-1.8667618188307256,-2.447625430970127
-1.8653717483788117,-2.44365983002555
-1.863985273058579,-2.4407674452170274
-1.8626023716703206,-2.4345754877404615
-1.8612230232051559,-2.4344761384367177
-1.8598472068427185,-2.427883202642496
-1.8584749019488913,-2.4276027348440037
-1.8571060880735637,-2.4239002521995276
-1.8557407449484298,-2.42187016873985
-1.854378852484821,-2.4210430814447323
-1.8530203907715632,-2.4179956857231866
-1.8516653400728735,-2.4164505500738316
-1.8503136808262854,-2.416436779767682
-1.8489653936406034,-2.414868250769537
-1.8476204592938905,-2.411296378153882
-1.8462788587314845,-2.4081647365547316
-1.84494057306404,-2.4036844271332907
-1.8436055835656073,-2.3968115320639773
-1.842273871671729,-2.3951325160897263
-1.8409454189775727,-2.3924909765047757
-1.839620207236085,-2.3874776673057196
-1.8382982183561785,-2.386470166633187
-1.836979434400938,-2.385005912205363
-1.8356638375858572,-2.384859475557104
-1.8343514102770992,-2.3845313360152756
-1.833042134989781,-2.384128836399659
-1.8317359943862848,-2.3798679978475703
-1.830432971274592,-2.3793549446885556
-1.82913304860664,-2.378889137440419
-1.8278362094767029,-2.3777731792500854
-1.8265424371197962,-2.3765974963491576
-1.8252517149101006,-2.37429076637632
-1.823964026359414,-2.3741062676004945
-1.8226793551156177,-2.3715995051023584
-1.8213976849611695,-2.368546808815307
-1.8201189998116165,-2.3679174787825676
-1.8188432837141257,-2.3607679968136925
-1.8175705208460367,-2.3564302489623072
-1.8163006955134389,-2.355551038441035
-1.8150337921497603,-2.3535910222123633
-1.813769795314381,-2.3510271869752852
-1.8125086896912626,-2.3493027790117726
-1.8112504600875994,-2.348549150925795
-1.8099950914324852,-2.348196590118008
-1.8087425687755996,-2.346897564342557
-1.8074928772859127,-2.3443885397161837
-1.806246002250405,-2.3440737233345943
-1.805001929072805,-2.339840182286135
-1.8037606432723465,-2.339446168408086
-1.8025221304825403,-2.3379307285877653
-1.8012863764499598,-2.3370773298912484
-1.8000533670330499,-2.3362131156419426
-1.7988230882009415,-2.334597615963601
-1.7975955260322944,-2.33298516039888
-1.7963706667141415,-2.3322980946009455
-1.7951484965407603,-2.330873501127407
-1.793929001912551,-2.330757204165821
-1.7927121693349333,-2.326732614479335
-1.7914979854172572,-2.3263938390923666
-1.7902864368717277,-2.325449489201324
-1.7890775105123418,-2.324862382820415
-1.7878711932538391,-2.3240324413405666
-1.7866674721106728,-2.3237021081430638
-1.7854663341959836,-2.320927182103854
-1.7842677667205942,-2.3205332033109545
-1.7830717569920134,-2.320095321801796
-1.7818782924134537,-2.319720801820217
-1.7806873604828617,-2.3175634454491756
-1.7794989487919617,-2.31571324827833
-1.7783130450253086,-2.314432277323293
-1.7771296369593563,-2.314404886859877
-1.7759487124615325,-2.3127753072419197
-1.7747702594893338,-2.3121683300066387
-1.773594266089424,-2.3094657930241547
-1.772420720396747,-2.3081464959693756
-1.7712496106336506,-2.3054409657859622
-1.7700809251090213,-2.305196750033815
-1.7689146522174297,-2.3046086065486913
-1.7677507804382866,-2.30414373221891
-1.766589298335009,-2.2991841858443323
-1.7654301945541973,-2.2981496519482953
-1.7642734578248216,-2.2972052021736777
-1.7631190769574177,-2.291800296076094
-1.7619670408432948,-2.29009154198484
-1.7608173384537522,-2.289997484187761
-1.7596699588393045,-2.289087789950313
-1.7585248911289146,-2.2876803211842716
-1.7573821245292436,-2.2856143845739103
-1.7562416483238967,-2.283167013737018
-1.7551034518726931,-2.2785365101687822
-1.7539675246109343,-2.2748489383558104
-1.752833856048682,-2.274844008370149
-1.751702435770052,-2.2742629503322718
-1.7505732534325062,-2.2711283203891677
-1.7494462987661625,-2.270469343343744
-1.7483215615731054,-2.269868898819779
-1.7471990317267108,-2.269066031283759
-1.746078699170974,-2.2669042675145388
-1.7449605539198487,-2.266664946096068
-1.7438445860565908,-2.262265071248823
-1.7427307857331156,-2.2597427116473887
-1.7416191431693553,-2.259273896123939
-1.740509648652627,-2.2572511738645122
-1.7394022925370138,-2.2567492057551193
-1.7382970652427403,-2.25358819097242
-1.7371939572555677,-2.2525842942782113
-1.736092959126191,-2.2514362672012393
-1.7349940614696397,-2.251393013524749
-1.7338972549646932,-2.249528913606143
-1.7328025303532966,-2.2493186759568333
-1.7317098784399831,-2.2471993028705017
-1.7306192900913082,-2.2449893213410723
-1.7295307562352862,-2.244366357855831
-1.728444267860834,-2.2424934993835652
-1.7273598160172214,-2.2416335664868363
-1.7262773918135281,-2.2414502560571044
-1.7251969864181038,-2.2398870615337247
-1.7241185910580414,-2.2396368966125633
-1.7230421970186474,-2.2396057255672575
-1.7219677956429238,-2.2381089081286247
-1.7208953783310572,-2.2376279786442077
-1.7198249365399056,-2.233237465862292
-1.7187564617825004,-2.232125236566515
-1.7176899456275498,-2.231657718390454
-1.716625379698943,-2.231429355415384
-1.7155627556752708,-2.2283910605264197
-1.7145020652893403,-2.224136774271443
-1.7134433003277023,-2.224129300150663
-1.7123864526301817,-2.222582945994159
-1.7113315140894108,-2.221698272177026
-1.7102784766503711,-2.22043864309403
-1.709227332309939,-2.218857927908545
-1.7081780731164353,-2.2178340712340785
-1.7071306911691824,-2.217380941129182
-1.7060851786180598,-2.2154791410012655
-1.7050415276630746,-2.2145512798830604
-1.7039997305539278,-2.2131507463475164
-1.7029597795895886,-2.211118980226855
-1.7019216671178743,-2.208701613831928
-1.7008853855350332,-2.2084622339346103
-1.6998509272853313,-2.2080489109156223
-1.698818284860646,-2.206623319375386
-1.6977874508000617,-2.2059637581544944
-1.6967584176894706,-2.2044119206470265
-1.6957311781611777,-2.204005059420379
-1.6947057248935118,-2.2035925832866776
-1.6936820506104355,-2.2034195897248874
-1.6926601480811636,-2.2026003792299202
-1.6916400101197882,-2.2010869113016724
-1.6906216295848977,-2.1982008878667476
-1.6896049993792137,-2.197829669848205
-1.6885901124492164,-2.196961029254224
-1.6875769617847873,-2.1958888590163954
-1.686565540418847,-2.1952312315462623
-1.6855558414270022,-2.1948053273050805
-1.6845478579271922,-2.1926008922727647
-1.683541583079339,-2.192343734211791
-1.6825370100850083,-2.19225013977209
-1.6815341321870632,-2.1910115781048067
-1.6805329426693276,-2.1896613842581325
-1.6795334348562547,-2.1872573790884884
-1.6785356021125954,-2.185393133879786
-1.6775394378430688,-2.1846348944650376
-1.6765449354920405,-2.1795998679767496
-1.6755520885432014,-2.174882822490913
-1.6745608905192528,-2.172523553877064
-1.6735713349815857,-2.1719129061091493
-1.6725834155299761,-2.1717159996111786
-1.6715971258022777,-2.171343465726387
-1.6706124594741105,-2.169454956149762
-1.669629410258565,-2.168673239429534
-1.6686479719059015,-2.1663633171074554
-1.667668138203255,-2.1621569707940123
-1.6666899029743427,-2.1615972927653475
-1.6657132600791729,-2.1609755808841933
-1.6647382034137586,-2.160624983264554
-1.663764726909835,-2.1604634314975417
-1.662792824534576,-2.1596125900947447
-1.6618224902903176,-2.1567624486960444
-1.6608537182142797,-2.1564390866685694
-1.6598865023782967,-2.1549069000406256
-1.6589208368885446,-2.153274104991422
-1.6579567158852728,-2.1525254723735503
-1.6569941335425418,-2.1524561290635376
-1.6560330840679576,-2.1519432832195897
-1.6550735617024142,-2.151071384776161
-1.6541155607198348,-2.1505522104532613
-1.6531590754269176,-2.1486953371974535
-1.652204100162884,-2.147123923867675
-1.6512506292992262,-2.146682798978309
-1.6502986572394616,-2.146087560571822
-1.6493481784188888,-2.1457118094046512
-1.648399187304341,-2.145553428870048
-1.6474516783939501,-2.145154916552639
-1.646505646216903,-2.1437073596589036
-1.6455610853332119,-2.1420262964220864
-1.644617990333476,-2.1414898468793524
-1.643676355838652,-2.140505831245635
-1.642736176499824,-2.139546208083385
-1.6417974469979777,-2.139072612842296
-1.6408601620437733,-2.1368600141029694
-1.6399243163773252,-2.1359973288850798
-1.6389899047679788,-2.134171278020501
-1.6380569220140957,-2.12921970913466
-1.637125362942832,-2.1226597246827428
-1.636195222409928,-2.121995363976072
-1.6352664952994937,-2.1211628716621065
-1.634339176523797,-2.1209934976718445
-1.633413261023059,-2.120562060771275
-1.632488743765244,-2.119052587702991
-1.6315656197458563,-2.118831090074126
-1.6306438839877355,-2.118196978593996
-1.629723531540859,-2.116432726908631
-1.6288045574821375,-2.1128815077236185
-1.627886956915226,-2.112818416602373
-1.6269707249703182,-2.109709468779277
-1.626055856803961,-2.104991555807299
-1.6251423475988591,-2.1049526894285377
-1.6242301925636848,-2.103721337021434
-1.62331938693289,-2.1006254944376215
-1.6224099259665206,-2.1001315166358734
-1.6215018049500307,-2.099034961511963
-1.620595019194096,-2.0984455496830923
-1.6196895640344406,-2.097557395240501
-1.6187854348316475,-2.0964914811372104
-1.6178826269709856,-2.0963968579866936
-1.6169811358622326,-2.0957145359245772
-1.6160809569394976,-2.0946718112964366
-1.6151820856610495,-2.093857751930653
-1.6142845175091436,-2.093757192302701
-1.6133882479898538,-2.090209059494103
-1.6124932726328987,-2.0879183663336747
-1.6115995869914785,-2.085947867095623
-1.6107071866421077,-2.084281789468873
-1.6098160671844486,-2.081174618508082
-1.6089262242411522,-2.0787454373061554
-1.6080376534576926,-2.0749321396747273
-1.6071503505022084,-2.073946958080932
-1.6062643110653456,-2.073779462879549
-1.6053795308600973,-2.072060172494108
-1.6044960056216495,-2.0705329504011685
-1.6036137311072247,-2.070474736655322
-1.6027327030959313,-2.0702478447113313
-1.6018529173886094,-2.069434392914482
-1.6009743698076817,-2.0676434830656296
-1.600097056197002,-2.0673095675471833
-1.5992209724217104,-2.066509902290307
-1.598346114368083,-2.0663711978059633
-1.5974724779433904,-2.0624557831008743
-1.5966000590757479,-2.0614979377400346
-1.5957288537139787,-2.0605943362203862
-1.5948588578274683,-2.0583697675116146
-1.5939900674060263,-2.05830713317203
-1.5931224784597435,-2.0552113550344804
-1.592256087018858,-2.0540113706179914
-1.5913908891336155,-2.0539972775258764
-1.5905268808741349,-2.053167328203326
-1.5896640583302724,-2.0529067743511176
-1.5888024176114903,-2.0510741600440197
-1.5879419548467213,-2.0483842865290014
-1.5870826661842408,-2.0475248962442825
-1.586224547791533,-2.0460062267368837
-1.5853675958551676,-2.0451678385060124
-1.584511806580665,-2.044324046239938
-1.5836571761923737,-2.0430317861042337
-1.5828037009333449,-2.0416683488042313
-1.5819513770652047,-2.040913685716029
-1.5811002008680326,-2.0400877126934835
-1.5802501686402408,-2.03870903758102
-1.579401276698447,-2.0385501309744205
-1.578553521377359,-2.035584161261899
-1.577706899029652,-2.0338109740119794
-1.5768614060258523,-2.0335038476300373
-1.576017038754218,-2.03313465143961
-1.5751737936206232,-2.0320165248511146
-1.5743316670484409,-2.0309766537804004
-1.57349065547843,-2.0302528718475523
-1.5726507553686222,-2.0292599263579634
-1.5718119631942051,-2.028364049476558
-1.5709742754474154,-2.0279412731095996
-1.5701376886374248,-2.026052007310571
-1.5693021992902285,-2.0252909542199746
-1.5684678039485416,-2.0250918397190123
-1.5676344991716853,-2.0245939997192224
-1.5668022815354803,-2.0240225834787604
-1.565971147632144,-2.023161737226692
-1.5651410940701804,-2.020965393703078
-1.5643121174742765,-2.0195621198737688
-1.5634842144852015,-2.0190348707594588
-1.5626573817596972,-2.0185453852435398
-1.5618316159703833,-2.0184428431718224
-1.5610069138056477,-2.0174932687508336
-1.5601832719695548,-2.0174561337763963
-1.5593606871817383,-2.013612747325575
-1.5585391561773043,-2.009151170011071
-1.5577186757067347,-2.0064438980199006
-1.5568992425357895,-2.006196986265804
-1.5560808534454065,-2.0061048026479202
-1.55526350523161,-2.0047120300738794
-1.5544471947054117,-2.002610613792263
-1.5536319186927205,-2.0022179165217944
-1.5528176740342443,-1.9984873596638792
-1.5520044575854,-1.9974981514833046
-1.551192266216221,-1.997254835901448
-1.5503810968112632,-1.994332875258691
-1.5495709462695182,-1.9942616942804248
-1.5487618115043207,-1.9929735661624217
-1.5479536894432577,-1.9917373422127282
-1.547146577028085,-1.99079941929379
-1.5463404712146338,-1.9905031009771266
-1.545535368972726,-1.9895570584297269
-1.5447312672860873,-1.9877960437474747
-1.5439281631522626,-1.9799555997980092
-1.543126053582526,-1.9770467748888765
-1.5423249356018027,-1.9770035237302064
-1.5415248062485807,-1.9769658740977392
-1.5407256625748287,-1.9758628662930262
