"GeneID","NExons","gene.F","gene.df.test","gene.p.value","gene.Simes.p.value","FDR","Simes.FDR"
"ENSG00000000003.16",3,0.47794840185839,3,0.702308785713186,0.778711974069488,0.999999746053986,0.999984305383648
"ENSG00000000419.14",5,1.98906664470445,5,0.113712621611171,0.0824703599982444,0.488481540467709,0.387451190619084
"ENSG00000000457.14",2,4.13605422366048,2,0.0470436251551213,0.0692901981493634,0.302107306708087,0.352607857319625
"ENSG00000000460.17",4,1.01016827640756,4,0.424259020453711,0.586442955115415,0.899440253900227,0.999984305383648
"ENSG00000000971.17",3,0.232365464933973,3,0.872399415676248,0.860893212587888,0.999999746053986,0.999984305383648
"ENSG00000001084.13",6,3.53229830071109,6,0.0104560134548082,0.0140581672639618,0.121719042582563,0.142002133290248
"ENSG00000001167.15",2,0.6718051535884,2,0.531111045261778,0.577587475164911,0.972220403908776,0.999984305383648
"ENSG00000001460.18",3,1.68429798793305,3,0.214665141432291,0.26419005129296,0.670260374454982,0.71261500066421
"ENSG00000001461.19",3,4.11672255334958,3,0.0262579606764241,0.0522336328772115,0.215417465887719,0.303819075328009
"ENSG00000001497.18",6,0.687989601034795,6,0.660947368807533,0.728169685848846,0.999999746053986,0.999984305383648
"ENSG00000001617.12",4,1.26790059304573,4,0.313759601790343,0.261276598379859,0.791500223350925,0.707314119064625
"ENSG00000001629.10",2,1.22622702035179,2,0.331612171000866,0.297625259458064,0.808560025696604,0.753346943608679
"ENSG00000001630.18",3,1.51684038046386,3,0.251501210673632,0.161917552128286,0.714288144872019,0.557965352874198
"ENSG00000001631.17",9,0.703903036047774,9,0.701652628301897,0.345660475901031,0.999999746053986,0.80958983638041
"ENSG00000002016.18",2,2.23236601498263,2,0.155673695870161,0.199058605193622,0.572891016642485,0.618676696975177
"ENSG00000002330.14",3,0.488667363835568,3,0.695486368730734,0.761695929061531,0.999999746053986,0.999984305383648
"ENSG00000002549.13",3,0.68359451005752,3,0.576061167870904,0.536646911942417,0.999999746053986,0.985834557899413
"ENSG00000002586.20",6,5.97994172806177,6,0.000425393603385628,5.00992506445942e-05,0.0140786408601721,0.00293977189261367
"ENSG00000002745.13",2,3.57082644361505,2,0.0651282707669249,0.0534163679180255,0.366032563065759,0.305052131743871
"ENSG00000002822.16",4,0.544731628199333,4,0.704606956088136,0.746075160674401,0.999999746053986,0.999984305383648
"ENSG00000002834.19",5,1.20201930045649,5,0.338398089107444,0.272870718422791,0.815671456643025,0.726132644496654
"ENSG00000002919.15",3,0.695938159081692,3,0.56912325351787,0.588089498501705,0.997059606361448,0.999984305383648
"ENSG00000003056.8",4,0.192942798699747,4,0.939289608015614,0.959752216607156,0.999999746053986,0.999984305383648
"ENSG00000003096.15",3,3.24140104623392,3,0.0561883230369423,0.0317981811103023,0.33529733445491,0.22672570751956
"ENSG00000003249.15",2,0.420429259807432,2,0.667189271646807,0.747941324433256,0.999999746053986,0.999984305383648
"ENSG00000003393.16",6,0.902432115915858,6,0.505885901440817,0.578196959396638,0.95587988820569,0.999984305383648
"ENSG00000003402.21",11,2.05536853381768,11,0.0411160885495215,0.0958042608574269,0.27955219805597,0.420939699834377
"ENSG00000003436.16",7,2.06793437177043,7,0.0780585994294477,0.104047228856102,0.401343710852256,0.440395450989796
"ENSG00000003509.16",4,1.21903789586498,4,0.330449771342292,0.314294001858125,0.80686997357811,0.771137111167232
"ENSG00000003756.17",9,1.01010030114438,9,0.448295966832445,0.481634371302444,0.918859858459992,0.944004812071855
"ENSG00000003989.18",3,4.12548643416938,3,0.025967442537692,0.0229486596827143,0.2143308263335,0.188049622556085
"ENSG00000004059.11",3,3.52368278790696,3,0.0418556983028315,0.0206530485089985,0.282445863912705,0.178178479885906
"ENSG00000004139.14",3,0.858715529780393,3,0.484362754178061,0.482225116721622,0.942629051489011,0.944004812071855
"ENSG00000004142.12",2,1.59508638777577,2,0.247653565551753,0.225664664607223,0.711554555601586,0.660771637836981
"ENSG00000004399.13",8,0.602074010510061,8,0.769700545019466,0.706592753512457,0.999999746053986,0.999984305383648
"ENSG00000004455.18",9,0.271962410996857,9,0.97865802346164,0.833692380853096,0.999999746053986,0.999984305383648
"ENSG00000004478.8",3,18.0178202826484,3,5.90093780398992e-05,2.66846241101296e-05,0.00333587892812703,0.00182225915490089
"ENSG00000004487.18",11,2.28738268816325,11,0.023989284297976,0.00359213910492376,0.203342735871917,0.0605468132965605
"ENSG00000004534.15",5,3.18201859768358,5,0.0245318304174195,0.0183818518149441,0.205961177106248,0.164740126663135
"ENSG00000004660.15",2,0.904631227216297,2,0.433712390825161,0.476342285901729,0.908753036696539,0.939439571448758
"ENSG00000004700.16",4,1.8920735972547,4,0.153521142935275,0.0824167028877894,0.568638091307626,0.387451190619084
"ENSG00000004766.17",4,1.15100926767442,4,0.361207474678919,0.278346795702323,0.839355111900666,0.734265825267255
"ENSG00000004777.19",2,1.87010985936455,2,0.194197740704111,0.215463017014294,0.638134697257798,0.642875346457727
"ENSG00000004864.14",2,0.232314459705418,2,0.796620823144563,0.898584585916385,0.999999746053986,0.999984305383648
"ENSG00000004866.22",3,2.0496335672206,3,0.151322193086298,0.240526403783066,0.566360931748486,0.680168614902169
"ENSG00000004897.12",6,1.77432593385383,6,0.141640074063267,0.0355750807326367,0.548078131760373,0.243968569918231
"ENSG00000004961.15",3,1.87060691159427,3,0.179206273354272,0.305583785537788,0.617430476864545,0.760708097450182
"ENSG00000004975.12",3,4.04493789562689,3,0.0279368532295991,0.0123606338053021,0.22370244902347,0.132883665199573
"ENSG00000005007.14",5,1.01078551818698,5,0.433909913967003,0.354626861473138,0.908855804176102,0.820328405463984
"ENSG00000005059.16",2,0.479805598431372,2,0.628550858848319,0.703216031226555,0.999999746053986,0.999984305383648
"ENSG00000005100.13",4,0.119178755252079,4,0.974016678876124,0.894990605319724,0.999999746053986,0.999984305383648
"ENSG00000005156.12",5,1.43746596692361,5,0.245075110004068,0.290246990634297,0.708328779342425,0.745499866925047
"ENSG00000005175.10",4,2.40704776027853,4,0.0842490330574124,0.0505606258927789,0.417827103819809,0.300276651769643
"ENSG00000005194.15",4,0.137405065670573,4,0.966334013458859,0.981703040836037,0.999999746053986,0.999984305383648
"ENSG00000005206.17",6,1.40232490958736,6,0.247944675926148,0.135230346702375,0.711572331980858,0.503289965395043
"ENSG00000005238.20",6,0.717156968804173,6,0.639092354944323,0.650599521002842,0.999999746053986,0.999984305383648
"ENSG00000005243.10",6,1.94757499735962,6,0.101793737024665,0.139551877383882,0.462772558803645,0.512783082603827
"ENSG00000005249.14",2,1.47671257327593,2,0.271531067694269,0.308772249139794,0.740244773509182,0.764792975711005
"ENSG00000005302.19",8,0.802527809083117,8,0.604019400291578,0.742301044856542,0.999999746053986,0.999984305383648
"ENSG00000005339.15",2,1.94175605801656,2,0.190852755092126,0.254491306618193,0.632934051343484,0.698501433920116
"ENSG00000005436.14",4,5.44817936076849,4,0.00393734924949541,0.00231269146778843,0.0665165081399948,0.0448523383262887
"ENSG00000005469.12",3,10.9384655188994,3,0.000803910565429716,0.000397823618275039,0.0224654776742708,0.0130327554946387
"ENSG00000005483.23",5,2.34160526076679,5,0.0744645393205127,0.0436291359049367,0.391639110702605,0.276162302208976
"ENSG00000005486.17",4,4.08706592128546,4,0.0149992047636094,0.0116455098409764,0.151573578423044,0.128200689627894
