"","logFC","logCPM","PValue","FDR"
"ENST00000611116.2",-2.35066975735956,-0.963275025465715,0.00505871878911679,0.0312763766051067
"ENST00000390289.2",-0.000477812792383142,0.0168416723404389,1,1
"ENST00000617347.1",-3.70368968890038,0.267562886805899,0.000155588480918386,0.00146146141371619
"ENST00000361390.2",0.166947959056299,10.5113375173814,0.0978998793001653,0.322999942719208
"ENST00000361453.3",0.0942647489255324,10.5645781293701,0.265391220357642,0.605144185175703
"ENST00000361624.2",0.217787317332769,13.306317149988,0.000209848470061032,0.00191143744552829
"ENST00000361739.1",0.0704208893927424,11.8399876450521,0.346957305257906,0.699318880971267
"ENST00000361851.1",0.0395957576699026,8.60174861565282,0.643376492237515,0.897616592815242
"ENST00000361899.2",0.163465016331394,11.3544945862685,0.00625181495264568,0.0375210045573776
"ENST00000362079.2",0.204303663368335,11.8926278419089,0.00125790436921573,0.00937878900704828
"ENST00000361227.2",0.222216800313659,8.36137610147463,0.00105902563220454,0.00806526381384993
"ENST00000361335.1",0.0757036597996434,9.20684527768969,0.270239217358707,0.6114689432982
"ENST00000361381.2",0.189657974307508,12.2665119506945,0.00183828862522545,0.0130676429037505
"ENST00000361567.2",0.289924141923646,11.4227339483606,1.73691728038463e-07,2.72435291821851e-06
"ENST00000361681.2",0.382838562049252,9.75964889615447,4.15569735197055e-10,9.45739836020536e-09
"ENST00000361789.2",0.384276858528156,10.9545231613058,1.08476970970077e-08,2.04261585692132e-07
"ENST00000614336.4",-0.477110891014956,3.06831426444842,0.108434151107915,0.346456919495962
"ENST00000612640.4",-0.917971981807681,1.21454575709123,0.139037575989004,0.409116780643478
"ENST00000618686.1",1.59062518964427,0.120746088335737,0.00998276686685501,0.0555813488819492
"ENST00000612465.1",0.0226124681003604,5.52838569086111,0.846125768254759,0.971383980195294
"ENST00000612919.1",0.859749123761335,0.35839517118552,0.116479632531844,0.363777439423854
"ENST00000612848.1",-0.299453509247118,3.53605091108279,0.15996957429789,0.448108088244684
"ENST00000613230.1",0.302766392685231,0.414444233123002,0.749412280953228,0.938968588116582
