"","group","lib.size","norm.factors"
"MCL1.DG","basalvirgin",23218026,1.23689928705836
"MCL1.DH","basalvirgin",21768136,1.21394850148457
"MCL1.DI","basalpregnant",24091588,1.12556397928396
"MCL1.DJ","basalpregnant",22656713,1.06982611000643
"MCL1.DK","basallactate",21522033,1.03592116624024
"MCL1.DL","basallactate",20008326,1.08721531031997
"MCL1.LA","luminalvirgin",20384562,1.36844487185104
"MCL1.LB","luminalvirgin",21698793,1.36532002999587
"MCL1.LC","luminalpregnant",22235847,1.00474306757476
"MCL1.LD","luminalpregnant",21982745,0.923282213124312
"MCL1.LE","luminallactate",24719697,0.529101493463312
"MCL1.LF","luminallactate",24652963,0.535487711577849
